ParticipantID|Sender|Type|ClientTime|Onset|Enter|Typingti|Speed|AppOrig.|Text|Recipients|Blocked|KDels|DDels|DIns|DDels*N|DIns*N|TaggedText|PriorTurnByOther_TimestampOnClientOfReceipt|PriorTurnByOther_ApparentUsername|PriorTurnByOther_Text
server|server|ARTIFICIALTURN|1422636722342|0|0|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722449|107|107|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722577|235|235|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722578|236|236|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722632|290|290|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722633|291|291|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722688|346|346|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722689|347|347|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722742|400|400|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722743|401|401|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722795|453|453|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722795|453|453|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722850|508|508|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722851|509|509|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722901|559|559|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722902|560|560|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722957|615|615|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636722957|615|615|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723009|667|667|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723010|668|668|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723061|719|719|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723061|719|719|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723115|773|773|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723116|774|774|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723173|831|831|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723173|831|831|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723227|885|885|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723227|885|885|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723279|937|937|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723280|938|938|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723331|989|989|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723332|990|990|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723390|1048|1048|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723391|1049|1049|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723444|1102|1102|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723444|1102|1102|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723497|1155|1155|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723497|1155|1155|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723552|1210|1210|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723552|1210|1210|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723604|1262|1262|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723604|1262|1262|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723658|1316|1316|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723662|1320|1320|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723713|1371|1371|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723713|1371|1371|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723765|1423|1423|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723765|1423|1423|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723817|1475|1475|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723817|1475|1475|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723872|1530|1530|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723872|1530|1530|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723923|1581|1581|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723924|1582|1582|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723978|1636|1636|0|0|lakwmd|Wake up!|, onef|OK|0|0|0|0|0|||||
server|server|ARTIFICIALTURN|1422636723978|1636|1636|0|0|onef|Wake up!|, lakwmd|OK|0|0|0|0|0|||||
